   39   696   723	RPs/Img: 18.90	IOU: 70.21%	Recall:96.27%	Precision:92.06%	RMSE:0.19 avgRMSE:0.15	C0: 1.00  C1: 1.00  C2: 0.97  C3: 1.00  C4: 0.95 
   40   699   728	RPs/Img: 18.56	IOU: 70.15%	Recall:96.02%	Precision:91.85%	RMSE:0.63 avgRMSE:0.16	C0: 1.00  C1: 0.75  C2: 0.97  C3: 1.00  C4: 0.95 
   41   713   742	RPs/Img: 18.45	IOU: 70.12%	Recall:96.09%	Precision:92.00%	RMSE:0.00 avgRMSE:0.15	C0: 1.00  C1: 0.75  C2: 0.97  C3: 1.00  C4: 0.95 
   42   720   749	RPs/Img: 18.19	IOU: 70.16%	Recall:96.13%	Precision:92.07%	RMSE:0.00 avgRMSE:0.15	C0: 1.00  C1: 0.75  C2: 0.97  C3: 1.00  C4: 0.95 
   43   729   758	RPs/Img: 18.00	IOU: 70.16%	Recall:96.17%	Precision:92.05%	RMSE:0.00 avgRMSE:0.15	C0: 1.00  C1: 0.75  C2: 0.97  C3: 1.00  C4: 0.95 
   44   733   763	RPs/Img: 17.71	IOU: 70.13%	Recall:96.07%	Precision:91.97%	RMSE:0.45 avgRMSE:0.15	C0: 1.00  C1: 0.75  C2: 0.97  C3: 1.00  C4: 0.95 
   45   745   777	RPs/Img: 17.67	IOU: 70.02%	Recall:95.88%	Precision:91.64%	RMSE:0.38 avgRMSE:0.16	C0: 1.00  C1: 0.75  C2: 0.96  C3: 1.00  C4: 0.95 
   46   750   782	RPs/Img: 17.40	IOU: 70.07%	Recall:95.91%	Precision:91.69%	RMSE:0.00 avgRMSE:0.16	C0: 1.00  C1: 0.75  C2: 0.96  C3: 1.00  C4: 0.95 
   47   762   794	RPs/Img: 17.31	IOU: 70.10%	Recall:95.97%	Precision:91.70%	RMSE:0.00 avgRMSE:0.15	C0: 1.00  C1: 0.75  C2: 0.96  C3: 1.00  C4: 0.95 
   48   772   804	RPs/Img: 17.16	IOU: 70.14%	Recall:96.02%	Precision:91.80%	RMSE:0.00 avgRMSE:0.15	C0: 1.00  C1: 0.75  C2: 0.96  C3: 1.00  C4: 0.95 
   49   790   822	RPs/Img: 17.18	IOU: 70.22%	Recall:96.11%	Precision:91.97%	RMSE:0.00 avgRMSE:0.15	C0: 1.00  C1: 0.75  C2: 0.96  C3: 1.00  C4: 0.95 
   50   802   835	RPs/Img: 17.10	IOU: 70.18%	Recall:96.05%	Precision:91.97%	RMSE:0.28 avgRMSE:0.15	C0: 1.00  C1: 0.75  C2: 0.97  C3: 0.97  C4: 0.95 
   51   821   857	RPs/Img: 17.23	IOU: 70.16%	Recall:95.80%	Precision:91.63%	RMSE:0.48 avgRMSE:0.15	C0: 1.00  C1: 0.80  C2: 0.96  C3: 0.97  C4: 0.95 
   52   838   874	RPs/Img: 17.23	IOU: 70.19%	Recall:95.88%	Precision:91.79%	RMSE:0.00 avgRMSE:0.15	C0: 1.00  C1: 0.80  C2: 0.96  C3: 0.97  C4: 0.95 
