   77   226  1142	RPs/Img: 17.04	IOU: 23.74%	Recall:19.79%	Precision:17.01%	RMSE:0.71 avgRMSE:2.00	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.26  C4: 0.33 
   78   230  1156	RPs/Img: 17.04	IOU: 23.78%	Recall:19.90%	Precision:17.09%	RMSE:1.56 avgRMSE:2.00	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.25  C4: 0.34 
   79   232  1173	RPs/Img: 17.06	IOU: 23.62%	Recall:19.78%	Precision:17.00%	RMSE:2.58 avgRMSE:2.00	C0: 0.20  C1: 0.12  C2: 0.00  C3: 0.25  C4: 0.33 
   80   235  1191	RPs/Img: 17.19	IOU: 23.65%	Recall:19.73%	Precision:16.88%	RMSE:2.25 avgRMSE:2.01	C0: 0.19  C1: 0.12  C2: 0.00  C3: 0.23  C4: 0.33 
   81   237  1209	RPs/Img: 17.22	IOU: 23.61%	Recall:19.60%	Precision:16.78%	RMSE:2.65 avgRMSE:2.01	C0: 0.19  C1: 0.12  C2: 0.00  C3: 0.22  C4: 0.33 
   82   238  1221	RPs/Img: 17.24	IOU: 23.58%	Recall:19.49%	Precision:16.63%	RMSE:2.25 avgRMSE:2.02	C0: 0.19  C1: 0.12  C2: 0.00  C3: 0.22  C4: 0.33 
   83   238  1223	RPs/Img: 17.07	IOU: 23.59%	Recall:19.46%	Precision:16.60%	RMSE:1.00 avgRMSE:2.00	C0: 0.19  C1: 0.12  C2: 0.00  C3: 0.22  C4: 0.33 
   84   239  1230	RPs/Img: 16.98	IOU: 23.55%	Recall:19.43%	Precision:16.56%	RMSE:1.93 avgRMSE:2.00	C0: 0.19  C1: 0.12  C2: 0.00  C3: 0.22  C4: 0.33 
   85   239  1240	RPs/Img: 17.00	IOU: 23.44%	Recall:19.27%	Precision:16.35%	RMSE:2.24 avgRMSE:2.01	C0: 0.19  C1: 0.12  C2: 0.00  C3: 0.22  C4: 0.32 
   86   242  1256	RPs/Img: 16.98	IOU: 23.41%	Recall:19.27%	Precision:16.38%	RMSE:2.08 avgRMSE:2.01	C0: 0.18  C1: 0.12  C2: 0.00  C3: 0.22  C4: 0.33 
   87   243  1261	RPs/Img: 16.90	IOU: 23.43%	Recall:19.27%	Precision:16.34%	RMSE:1.10 avgRMSE:2.00	C0: 0.18  C1: 0.12  C2: 0.00  C3: 0.22  C4: 0.33 
   88   248  1276	RPs/Img: 16.87	IOU: 23.50%	Recall:19.44%	Precision:16.52%	RMSE:1.67 avgRMSE:1.99	C0: 0.18  C1: 0.12  C2: 0.00  C3: 0.22  C4: 0.33 
   89   248  1277	RPs/Img: 16.74	IOU: 23.50%	Recall:19.42%	Precision:16.46%	RMSE:1.00 avgRMSE:1.98	C0: 0.18  C1: 0.11  C2: 0.00  C3: 0.22  C4: 0.33 
